Retailer,StoreID,StoreName,StoreAddress,StoreCity,StoreState,Zipcode,Country,Latitude,Longitude,Phone
"Jollibee FoodPanda","15003","Jollibee - Cebu F.Llamas","F. Llamas, Punta Prinsesa","Cebu","CEB","6000","PH","10.295432","123.869597","+639225154113"
"Jollibee FoodPanda","15006","Jollibee - Sindalan","McArthur Hway, Sindalan City of San Fernando","San Fernando","PAM","2000","PH","15.077289","120.640719","+639981890095"
"Jollibee FoodPanda","157079","Jollibee - Enrile Boulevard Tuguegarao","Purok 7 Enrile Boulevard Caggay Tuguegarao City, Cagayan","Tuguegarao City","CAG","3500","PH","17.6500325","121.7529678","+639625202376"
"Jollibee FoodPanda","32484","Jollibee - Davao Toril","Agton Street, Toril, Davao City, Davao del Sur 800","Davao City Davao","DAV","8000","PH","7.01654763","125.49780648","+639488575218"
"Jollibee FoodPanda","28142","Jollibee - CDO Kauswagan DT","Saint Francis Street, NHA Barangay Kauswagan","Cagayan De Oro Misamis","MIS","9000","PH","8.49689725","124.63045","+639260887805"
"Jollibee FoodPanda","76461","Jollibee - Naga Elias Angeles","P. Burgos Street corner Elias Angeles Barangay Santa Cruz 3rd District","Naga Camarines","CAM","4400","PH","13.6243369","123.1855224","+639632209676"
"Jollibee FoodPanda","32288","Jollibee - CDO Divisoria","Along Pelaez Arcade Velez Corner Tirso Neri Street 1st District","Cagayan De Oro Misamis","MIS","9000","PH","8.47775578","124.6443354","+639064661795"
"Jollibee FoodPanda","15499","Jollibee - Naic Highway","Virginia Lopez Subd., Brgy. Sabang, Naic","Naic","CAV","4100","PH","14.3215339","120.7720909","+63466851927"
"Jollibee FoodPanda","15033","Jollibee - Cebu Guadalupe","V. Rama Ave. cor. R. Duterte Sts., Guadalupe","Cebu","CEB","6000","PH","10.3155183","123.88534875","+639293486784"
"Jollibee FoodPanda","15489","Jollibee - Dasma Paliparan","Sitio Pintong Gubat Molino Road Paliparan Dasmarinas","Dasmarinas","CAV","4100","PH","14.320542","120.985024","+639773563067"
"Jollibee FoodPanda","19136","Jollibee - CDO Vamenta","Max Suniel St., Vamenta Blvd.","Cagayan De Oro Misamis","MIS","9000","PH","8.48136735","124.63811","+639338624515"
"Jollibee FoodPanda","44158","Jollibee - Lipa Highway","Purok 1, National Road, barangay Tambo Lipa City, Batangas 4217","Lipa","BAT","4200","PH","13.94220859","121.13684979","+639297111430"
"Jollibee FoodPanda","28208","Jollibee - Gensan Makar","Makar Sarangani Road Labangal","General Santos City","SOU","8000","PH","6.1187897","125.14516395","+639299608013"
"Jollibee FoodPanda","19210","Jollibee - Lopues East","Lopues East Center, Burgos St., Brgy. Villamonte","Bacolod City","NOC","9200","PH","10.664249","122.967355","+639088160398"
"Jollibee FoodPanda","10948","Jollibee - Pacific Mall Mandaue","Pacific Mall Ground Floor, Ibabao Estancia, M.C. Briones Street","Cebu","CEB","6000","PH","10.3407556","123.9476678","+639988810087"
"Jollibee FoodPanda","24749","Jollibee - CDO Market City","CDO Market City, Brgy. Lapasan","Cagayan De Oro Misamis","MIS","1100","PH","8.48923065","124.65863805","+639566540399"
"Jollibee FoodPanda","19208","Jollibee - Iloilo E Lopez","E. Lopez Street Corner Jalandoni Street, Our Lady Of Lourdes","Iloilo City","ILO","9200","PH","10.71885195","122.56073445","+639778833069"
"Jollibee FoodPanda","28319","Jollibee - Dumaguete North Road","Real St National Highway","Dumaguete","NOR","6200","PH","9.3116331","123.3046692","+639265174924"
"Jollibee FoodPanda","15488","Jollibee - Dasma Bayan","#72 Don. P Campos Avenue Brgy. Zone 4 Dasmarinas Cavite","Dasmarinas","CAV","4100","PH","14.32625538","120.93627455","+63284162296"
"Jollibee FoodPanda","50155","Jollibee - Zambo Pilar","Pilar Street Governor Lim Avenue Barangay Zone 3 Zamboanga City 1st District","Zamboanga","ZAM","7000","PH","6.90639725","122.077227","+639472792072"
"Jollibee FoodPanda","32347","Jollibee - Maimpis","Mc Arthur Highway Jollibee Sacop Barangay Maimpis 2000","San Fernando","PAM","2000","PH","15.0644067","120.652788","+639695168656"
"Jollibee FoodPanda","28156","Jollibee - Gensan City Heights","Natl Highway cor Mabuhay Road Brgy City Heights","General Santos City","SOU","9500","PH","6.119176","125.160877","+639479962571"
"Jollibee FoodPanda","32410","Jollibee - Super Metro Mambaling","Super Metro Mambaling F Llamas Street Corner N Bacalso Avenue 1st District","Cebu","CEB","6000","PH","10.2902359","123.8706387","+639189436338"
"Jollibee FoodPanda","19204","Jollibee - Dumaguete Southroad DT","Soutroad BNational Highway, Brgy Tabuc Tubig","Dumaguete","NOR","6200","PH","9.299068","123.302538","+639260271076"
"Jollibee FoodPanda","45263","Jollibee - Naga Gen Luna","Abella Building General Luna Street Barangay Dinaga 3rd District","Naga Camarines","CAM","4400","PH","13.6225955","123.18440695","+639773525608"
"Jollibee FoodPanda","18605","Jollibee - Butuan Jaqno","J.C. Aquino (formerly Zamora St.) cor. Montilla Blvd","Butuan Agusan Del","AGU","8600","PH","8.94776675","125.5406048","+639121638555"
"Jollibee FoodPanda","50145","Jollibee - Sapang Palay","5 Star Complex Area C Sampol Sapang Palay San Jose Del Monte Bulacan 1st District","San Jose Del Monte","BUL","3017","PH","14.8572909","121.0556281","+639260279830"
"Jollibee FoodPanda","142011","Jollibee - Naga Almeda Hiway","Maharlika highway corner Almeda highway Concepcion Grande Naga city Camarines Sur","Naga Camarines","CAM","4400","PH","13.6164458","123.2272355","+639209514175"
"Jollibee FoodPanda","48502","Jollibee - Diversion Rd Batangas City","Diversion Road Brgy Alangilan Batangas CityBeside Xentro Mall Batangas and Grand Terminal Batangas","Batangas City","BAT","4200","PH","13.78929","121.0606929","+632437415715"
"Jollibee FoodPanda","19213","Jollibee - Quintin Salas","National Highway Corner Tacas Road, Quintin Salas, Iloilo City, Iloilo, Region Vi (Western Visayas)","Iloilo City","ILO","9200","PH","10.740868","122.5635623","+639088901325"
"Jollibee FoodPanda","32456","Jollibee - Azienda Camella DT","South Road National Highway Lawaan 1st District","Cebu","CEB","6000","PH","10.25861045","123.8232008","+639177743789"
"Jollibee FoodPanda","19209","Jollibee - Iloilo Gen. Luna","Mh Del Pilar Street, Taal","Iloilo City","ILO","9200","PH","10.6994569","122.5540076","+639089968668"
"Jollibee FoodPanda","15052","Jollibee - Davao Matina","Macarthur Highway, Matina Crossing","Davao City Davao","DAV","8000","PH","7.0588509","125.56893623","+639428089358"
"Jollibee FoodPanda","28679","Jollibee - Cogeo","Marcos Highway corner Lucban Road Barangay Santa Cruz Gate 2 Cogeo 1st District","Antipolo","RIZ","1870","PH","14.62045485","121.1693618","+63286681691"
"Jollibee FoodPanda","15030","Jollibee - Calamba Crossing","Calamba Crossing Brgy. 1, Calamba National Highway, Calamba, Laguna","Isabela","BAS","4023","PH","14.206244","121.155215","+63495363191"
"Jollibee FoodPanda","15518","Jollibee - Maraouy","JP Laurel St. Cor. Balete St. Lipa City","Lipa","BAT","4217","PH","13.9704444","121.1661667","+63437413384"
"Jollibee FoodPanda","16902","Jollibee - Escario","N. Escario Street, Camputhaw","Cebu","CEB","6000","PH","10.317257","123.894189","+639338649014"
"Jollibee FoodPanda","19157","Jollibee - Zambo Veterans","Veterans Ave.","Zamboanga","ZAM","7001","PH","6.9139318","122.07972235","+639772026954"
"Jollibee FoodPanda","14997","Jollibee - Bulacao","Cebu South Road, Bulacao","Cebu","CEB","6000","PH","10.2739189","123.8495397","+639497524414"
"Jollibee FoodPanda","19176","Jollibee - Guiguinto Highway","Cagayan Valey Rd. , Sta Cruz, Guiguinto","Malolos","BUL","3015","PH","14.84174105","120.86142445","+639971534030"
"Jollibee FoodPanda","15049","Jollibee - Minglanilla Reloc DT","Natalio B. Bacalso, Minglanilla, Cebu City, 6000 Cebu, Philippines","Minglanilla","CEB","6000","PH","10.24578494","123.7976203","+639177743789"
"Jollibee FoodPanda","28209","Jollibee - Gensan Lagao","National Highway Corner Nlsa Rd","General Santos City","SOU","9500","PH","6.1268335","125.1952942","+639985512857"
"Jollibee FoodPanda","55166","Jollibee - Metrotown","Ground Floor Metrotown Mall McArthur Highway Corner Juan Luna Street 1st District","Tarlac City","TAR","2317","PH","15.4874881","120.5966772","+639285040364"
"Jollibee FoodPanda","74579","Jollibee - Lingsat","Mc Arthur Highway corner Doctor A Martinez Street Barangay Lingsat 1st District","San Fernando","PAM","2500","PH","16.6365986","120.3120906","+639190809941"
"Jollibee FoodPanda","15024","Jollibee - San Pablo plaza","Rizal Ave. cor Paseo de Escudero San Pablo City","San Pablo","LAG","4000","PH","14.070583","121.324929","+63495621351"
"Jollibee FoodPanda","44076","Jollibee - Buntun","Zone 7 Buntun Highway Barangay Buntun 1st District","Tuguegarao City","CAG","3500","PH","17.6133568","121.7064374","+639531134123"
"Jollibee FoodPanda","39237","Jollibee - Bucandala","Patindig Araw Street corner Malagasang Bucandala IV 3rd District","Imus","CAV","4103","PH","14.4053316","120.9254197","+632464400427"
"Jollibee FoodPanda","28131","Jollibee - CDO Velez DT","Don Apolinario Velez Street Corner Kolambugan St","Cagayan De Oro Misamis","MIS","9000","PH","8.48225","124.6455","+639088759651"
"Jollibee FoodPanda","6769","Jollibee - Exportbank Buendia Pasong Tamo","G/F Exportbank Plaza, Gil Puyat Cor. Chino Roces Ave.","Makati","MET","1200","PH","14.55965885","121.0112736","+63288867480"
"Jollibee FoodPanda","32467","Jollibee - CDO Cogon Osmena Borja","Jollibee Cdo Cogon OIsmenia Borja","Cagayan De Oro Misamis","MIS","9000","PH","8.47659965","124.6522493","+639672187623"
"Jollibee FoodPanda","81673","Jollibee - Sta. Rosa","Pan Philippine Highway Barangay Rizal Poblacion 3rd District","Santa Rosa","LAG","3101","PH","15.4241949","120.9381556","+639513400736"
"Jollibee FoodPanda","152462","Jollibee - Mandurriao","Q Abeto Street, Brgy. Taft South, Mandurriao, Iloilo City","San Pedro","LAG","4023","PH","10.7177236","122.5384592","+639647554021"
"Jollibee FoodPanda","15057","Jollibee - Talomo","KM7, McArthur Highway, Ulas, Talomo, Davao City 8000","Davao City Davao","DAV","8000","PH","7.0595505","125.55046615","+639985512682"
"Jollibee FoodPanda","95529","Jollibee - Zamboanga Divisoria","Fronting Bus Terminal MCLL Highway Zamboanga City 1st District","Zamboanga","ZAM","7000","PH","6.94840688","122.10795723","+639756437496"
"Jollibee FoodPanda","19198","Jollibee - Tungkong Mangga","Nolasco Market Quirino Highway, Tungkong Mangga, San Jose Del Monte City","San Jose Del Monte","BUL","3023","PH","14.788939","121.074568","+639188076654"
"Jollibee FoodPanda","48873","Jollibee - San Pablo Maharlika","Maharlika Highway Barangay San Rafael 2nd District","San Pablo","LAG","4000","PH","14.0709912","121.30797135","+632495210497"
"Jollibee FoodPanda","28293","Jollibee - B. Aquino DT","B Aquino Avenue Mandurriao Brgy San Rafael","Iloilo City","ILO","5000","PH","10.70841","122.55224","+639773189383"
"Jollibee FoodPanda","28268","Jollibee - Bacolod Cyber Center DT","Negros First Cyber Centre Bldg Lacson corner Hernaez St","Bacolod City","NOC","6100","PH","10.66159565","122.9471148","+639985606768"
"Jollibee FoodPanda","15055","Jollibee - Quimpo","Corner Sandawa Road, Lot 13, Quimpo Blvd., Brgy. 76-A, Bucana","Davao City Davao","DAV","8000","PH","7.05744385","125.60077145","+639998862974"
"Jollibee FoodPanda","74627","Jollibee - Niog","E Aguinaldo Highway Barangay Niog 2nd District","Bacoor","CAV","4102","PH","14.4548409","120.9577407","+639511507267"
"Jollibee FoodPanda","15509","Jollibee - Tanza","A. Soriano Highway Cor. Daang Amaya, Tanza","Tanza","CAV","4100","PH","14.39284385","120.85266335","+639632209676"
"Jollibee FoodPanda","15053","Jollibee - Matina Town Square","MTS Compound, McArthur Highway, Matina","Davao City Davao","DAV","8000","PH","7.062823","125.596864","+639209747955"
"Jollibee FoodPanda","28207","Jollibee - Davao Talomo 2","McArthur Highway, Talomo, Davao City, Davao del Sur","Davao City Davao","DAV","8000","PH","7.05128487","125.54219997","+639286331379"
"Jollibee FoodPanda","15483","Jollibee - Bahayang Pag-asa","Avenida Rizal Cor. Inocencio St., Bagong Silang (Bahayang Pag-Asa)","Imus","CAV","4103","PH","14.39630135","120.96859385","+639473633218"
"Jollibee FoodPanda","148101","Jollibee - Ampayon Highway","Jollibee P3 Agusan Misamis Oriental Road Barangay Ampayon Butuan City 1st District (near Caltex)","Butuan Agusan Del","AGU","8600","PH","8.96116222","125.60178004","+639479883678"
"Jollibee FoodPanda","155978","Jollibee - Circumferential Road","Circumferential Road Corner Dr A Gahol Avenue Bajada Barangay 19B Poblacion First District6QV73JM4+RC","Davao City Davao","DAV","8000","PH","7.08453481","125.60589415","+639913505955"
"Jollibee FoodPanda","27546","Jollibee - Banilad","Gov. M. Cuenco, Sto. Nino Village, Banilad","Cebu","CEB","6000","PH","10.348677","123.913381","+639328543104"
"Jollibee FoodPanda","14749","Jollibee - Bustillos","2643 Legarda Street Barangay 416","Manila","MET","1000","PH","14.601426","120.99293745","+63282518274"
"Jollibee FoodPanda","14995","Jollibee - Sto. Nino Lapu-Lapu","ML Quezon National Highway, Lapu-lapu","Lapu-Lapu City","CEB","6000","PH","10.309281","124.010821","+639693580247"
"Jollibee FoodPanda","39093","Jollibee - Davao Timesquare","Corner Duterte and Illustre street 1st District","Davao City Davao","DAV","8000","PH","7.0693004","125.6057203","+639107770982"
"Jollibee FoodPanda","18738","Jollibee - Shell Commonwealth Feria","Shell Gas Station Nr. Feria Road Cor. Commonwealth Ave, Baranggay Matandang Balara","Quezon","QUE","1100","PH","14.67142395","121.07922735","+63282414536"
"Jollibee FoodPanda","11059","Jollibee - Zamboanga","Level 1 Yubenco Supermarket, San Jose Gusu","Zamboanga","ZAM","7000","PH","6.92040445","122.04803755","+639555894876"
"Jollibee FoodPanda","28687","Jollibee - Parang Marikina","Gen. B.G. Molina, cor G. Del Pilar St, Marikina, Metro Manila","Marikina","MET","1800","PH","14.6594385","121.1134582","+63289426799"
"Jollibee FoodPanda","28139","Jollibee - Plaza Independecia DT","MJ Cuenco Avenue cor Legaspi Extension","Cebu","CEB","6014","PH","10.2949354","123.9053125","+639190088149"
"Jollibee FoodPanda","141375","Jollibee - Butuan Libertad","P2 Barangay Libertad Butuan City Agusan Del Norte 1st District (6QW7WGV3+GW)","Butuan Agusan Del","AGU","8600","PH","8.943867","125.50475967","+639171022720"
"Jollibee FoodPanda","7707","Jollibee - Davao Bolton","Bolton Street Corner J.p. Rizal Street, Barangay 12-B","Davao City Davao","DAV","8000","PH","7.06620223","125.60931221","+639325584867"
"Jollibee FoodPanda","15016","Jollibee - Balibago","Mcarthur Highway, Balibago, Angeles City","Angeles","PAM","2009","PH","15.16711206","120.5900631","+639395214181"
"Jollibee FoodPanda","75362","Jollibee - Sta. Rosa Highway","Lot 1187-D Old National Highway Barangay Balibago 1st District","Santa Rosa","LAG","4026","PH","14.2972504","121.1051178","+639088649749"
"Jollibee FoodPanda","28282","Jollibee - G. Tuazon Balic","301 G Tuazon cor E Quintos St Balic-balic","Manila","MET","1000","PH","14.6068815","121.0030985","+63287128592"
"Jollibee FoodPanda","15050","Jollibee - JP Laurel","Fatima village bajada davao city","Davao City Davao","DAV","8000","PH","7.08444022","125.61218245","+639124774450"
"Jollibee FoodPanda","14996","Jollibee - AS Fortuna","National Highway Cor. A.S. Fortuna St. Baranggay Bakilid, Mandaue City","Mandaue City","CEB","6000","PH","10.3320879","123.9352034","+639499988519"
"Jollibee FoodPanda","49279","Jollibee - Calamba Highway","Ipil Ipil Street National Highway Barangay Bucal 1st District","Calamba","LAG","4027","PH","14.1919569","121.1665969","+632495594655"
"Jollibee FoodPanda","15018","Jollibee - Sta Rosa Bayan","Rizal Blvd., Zavalla St., Brgy. Kanluran, Sta. Rosa","Isabela","BAS","4000","PH","14.31303794","121.11205037","+63465341392"
"Jollibee FoodPanda","32545","Jollibee - MRT Avenue","313 Cuasay","Taguig","MET","1630","PH","14.51502026","121.05207392","+63287010718"
"Jollibee FoodPanda","28681","Jollibee - Bayan Bayanan","E Santos Street Corner Bayanbayanan Avenue Barangay Concepcion Uno 1st District","Marikina","MET","1850","PH","14.6509029","121.1042688","+63286367413"
"Jollibee FoodPanda","79488","Jollibee - Dasma DBB","Congressional Avenue corner C Trinidad Avenue Barangay Burol 1 4th District","Dasmarinas","CAV","4114","PH","14.33452655","120.9538966","+639555300867"
"Jollibee FoodPanda","152533","Jollibee - Harmony Village","Harmony Village 2 Maharlika 4023 Cityof San Pedro Laguna Philippines (Beside Lica Malls) 7Q6382VQ+6C","San Pedro","LAG","4023","PH","14.3426769","121.038041","+639158004119"
"Jollibee FoodPanda","150787","Jollibee - San Fernando Capitol","Jollibee Capitol Boulevard Sto Nino City of San Fernando Pampanga 2nd District","San Fernando","PAM","2000","PH","15.0252959","120.6857834","+639082019910"
"Jollibee FoodPanda","7706","Jollibee - Davao Buhangin","Buhangin Road Corner San Pedro Ave","Davao City Davao","DAV","8100","PH","7.0998149","125.6148487","+639209492126"
"Jollibee FoodPanda","15517","Jollibee - Lipa Uptown","Along Ayalal Highway, Mataas na Lupa","Lipa","BAT","4200","PH","13.942605","121.152327","+639618823032"
"Jollibee FoodPanda","159279","Jollibee - Babag Lapu-lapu DT","Babag 2 Babag Road Lapu-Lapu City Cebu Lone District7Q257WFW+94","Lapu-Lapu City","CEB","6015","PH","10.27326265","123.94523085","+639668265924"
"Jollibee FoodPanda","16905","Jollibee - General Maxilom","General Maxilom cor. Jakosalem St.","Cebu","CEB","6000","PH","10.31122","123.899529","+639959516330"
"Jollibee FoodPanda","55168","Jollibee - Pulo Cabuyao","Lot 2-A Jam Terminal Diezmo Road Barangay Pulo 1st District","Cabuyao","LAG","4026","PH","14.24647615","121.1296439","+639985805661"
"Jollibee FoodPanda","154569","Jollibee - Davao Magsaysay","R Magsaysay Extension cor E Jacinto Extension Barangay 32 D Davao City 1st District (6QV73JF6+HW)","Davao City Davao","DAV","8000","PH","7.07371775","125.61198245","+639498654980"
"Jollibee FoodPanda","16895","Jollibee - Welcome Rotonda","Quezon Blvd cor Mayon St., Sta Teresita","Quezon","QUE","1100","PH","14.618153","121.00185225","+639297763280"
"Jollibee FoodPanda","14787","Jollibee - Plaza Central (Muntinlupa)","GF, Plaza Central Bldg., Katihan Road, Brgy Poblacion","Muntinlupa","MET","1770","PH","14.38934165","121.04473595","+63288516362"
"Jollibee FoodPanda","39338","Jollibee - Sta Cruz","San Pablo Pavilion, Malolos, Bulacan","Malolos","BUL","3022","PH","14.83905932","120.85950845","+639985995889"
"Jollibee FoodPanda","14776","Jollibee - Valenzuela","Along McArthur Hi-way cor Pio","Valenzuela","MET","1440","PH","14.6734892","120.98204135","+63282911799"
"Jollibee FoodPanda","19203","Jollibee - Calbayog","Gomez St., cor. Rosales Blvd., Calbayog","Leyte","LEY","6710","PH","12.068522","124.593458","+639177965466"
"Jollibee FoodPanda","32986","Jollibee - Antipolo Circumferential","7 Circumferencial Road San Roque 1st District","Antipolo","RIZ","1870","PH","14.58131115","121.1792924","+63289836732"
"Jollibee FoodPanda","19196","Jollibee - Tarlac Highway","Victory Liner Compound, McArthur Highway Brgy. San Roque","Tarlac City","TAR","2300","PH","15.4808367","120.5950759","+639302397175"
"Jollibee FoodPanda","159965","Jollibee - Davao Ecoland West Drive","Ecoland West drive Quimpo Boulevard Bucana Davao City 1st District6QV72HXP+V3","Davao City Davao","DAV","8000","PH","7.049815","125.5853925","+639460631792"
"Jollibee FoodPanda","32440","Jollibee - AUF","Mc Arthur Highway Corner Diego Silang Street And Biak Na Bato Barangay Lourdes Sur East 1st District","Angeles","PAM","2009","PH","15.14475185","120.59549251","+639999900143"
"Jollibee FoodPanda","14779","Jollibee - Makati Avenue","No. 69 Makati Avenue","Makati","MET","1200","PH","14.56247305","121.02806325","+63288996576"
"Jollibee FoodPanda","28743","Jollibee - Petron Diego Silang","Petron C5 (northbound) corner Diego Silang Avenue Barangay Ususan","Taguig","MET","1630","PH","14.5291011","121.05751195","+639999909523"
"Jollibee FoodPanda","29482","Jollibee - Mandaue Briones","MC Briones Corner ML Quezon Avenue 1st District","Mandaue City","CEB","6000","PH","10.33504205","123.93940575","+639195659213"
"Jollibee FoodPanda","32398","Jollibee - P. Remedio","AS Fortuna Street Corner P Remedio Street Banilad 1st District","Mandaue City","CEB","6014","PH","10.3413507","123.9198503","+639988479158"
"Jollibee FoodPanda","19144","Jollibee - Limketkai Gateway","Ground Floor, Gateway Tower 1, Lapasan Hi-Way","Cagayan De Oro Misamis","MIS","9200","PH","8.48445395","124.65622325","+639176213260"
"Jollibee FoodPanda","158590","Jollibee - TCI Road Tagaytay","Emilio Aguinaldo Highway corner TCI Bypass Road Maitim 2nd East Tagaytay City Cavite7th District 7Q624XJ4+VV","Tagaytay","CAV","4120","PH","14.1315305","120.9569034","+639189592443"
"Jollibee FoodPanda","112207","Jollibee - Buhay na Tubig","Lot 2 Block 54 Buhay na Tubig Street Buhay na Tubig 3rd District (7Q62CX44+PM)","Bacoor","CAV","4103","PH","14.40692311","120.95653855","+639082479106"
"Jollibee FoodPanda","50535","Jollibee - Lancaster","Bucandala Alapan Road Lancaster New City Barangay Alapan 2B 1st District","Imus","CAV","4103","PH","14.4037735","120.9052901","+639190734500"
"Jollibee FoodPanda","15026","Jollibee - New Cabuyao","JP Rizal St., Barangay Dos, Cabuyao City Laguna","Cabuyao","LAG","4000","PH","14.2773648","121.1233652","+63495442476"
"Jollibee FoodPanda","15009","Jollibee - Mabalacat Pampanga","Mac Arthur Hiway Brgy San Francisco Mabalacat Pampanga","Mabalacat","PAM","2010","PH","15.22145305","120.57518575","+639285041386"
"Jollibee FoodPanda","154607","Jollibee - Camachiles","Mc Arthur Highway Barangay Camachiles Mabalacat City Pampanga 1st District (5HRM+3GG Mabalacat, Pampanga)","Mabalacat","PAM","2010","PH","15.189978","120.58380275","+639088982297"
"Jollibee FoodPanda","156102","Jollibee - San Nicolas Tarlac","Aquino Boulevard Street Block No 3 San Nicolas 1st District7Q72FHXW+6H","Tarlac City","TAR","4207","PH","15.49805125","120.59608205","+639496883159"
"Jollibee FoodPanda","31624","Jollibee - Gov. Pascual Malabon","Francis Market Gov Pascual Corner MH Del Pilar Tinajeros 1st District","Malabon","MET","1470","PH","14.6682777","120.9657959","+63283513545"
"Jollibee FoodPanda","159644","Jollibee - Tacloban Rotunda","Rotunda Barangay 77 Tacloban CIty 1st District 7Q376265+PM","Tacloban","LEY","6500","PH","11.211813","125.009187","+639543011503"
"Jollibee FoodPanda","48852","Jollibee - Paciano Rizal","Along National Road Barangay Paciano Rizal 3rd District","Calamba","LAG","4027","PH","14.2181575","121.1409918","+632495301201"
"Jollibee FoodPanda","18575","Jollibee - Cainta","RD 3 Commercial Complex, A Bonifacio Ave.","Cainta","RIZ","1800","PH","14.57691995","121.11661335","+63286559596"
"Jollibee FoodPanda","156966","Jollibee - Sahud Ulan","Antero Soriano Highway Barangay Sahud Ulan 7th District7Q629RCF+HQ","Cavite City","CAV","4108","PH","14.371437","120.824438","+639989607131"
"Jollibee FoodPanda","18617","Jollibee - Subic Lot 21","#3 Magsaysay Drive Olongapo","Subic","ZAM","2200","PH","14.82724255","120.28255625","+639635267950"
"Jollibee FoodPanda","15032","Jollibee - Banlic","National Highway Corner Mamatid Road, Banlic, Cabuyao","Calamba","LAG","4000","PH","14.228033","121.13927","+639088864489"
"Jollibee FoodPanda","15498","Jollibee - Molino Blvd","678 Molino Boulevard Bayanan","Bacoor","CAV","4100","PH","14.42399175","120.9654179","+639123468583"
"Jollibee FoodPanda","46591","Jollibee - Davao Buhangin Airport","C.P Garcia Highway Diversion Road Lot 1 Blk 20 Davao del Sur","Davao City Davao","DAV","8000","PH","7.13348755","125.6431289","+639662996145"
"Jollibee FoodPanda","28673","Jollibee - Partas","Partas Pasay Aurora Boulevard corner Edang Street Barangay 146 1st District","Pasay","MET","1300","PH","14.5342463","121.0035901","+63288384952"
"Jollibee FoodPanda","46907","Jollibee - Kiko Camarin","3545 San Isidro Area D Camarin Caloocan City 1st District","Caloocan","MET","1400","PH","14.7564654","121.0599161","+63282776096"
"Jollibee FoodPanda","48874","Jollibee - WM Belair","Waltermart Belair Ground Floor Tagaytay Road Barangay Pulong Sta Cruz 2nd District","Santa Rosa","LAG","4026","PH","14.2673125","121.0779815","+639207219353"
"Jollibee FoodPanda","28353","Jollibee - West Zamora","1890 West Zamora St Pandacan Barangay 850","Manila","MET","1000","PH","14.585611","121.001332","+63282820269"
"Jollibee FoodPanda","99409","JOLLIBEE - ALTA CITTA TAGBILARAN","Level 1 Alta Citta CP Garcia Avenue Poblacion II 1st District","Tagbilaran","BOH","6300","PH","9.6415632","123.8556304","+639190793589"
"Jollibee FoodPanda","142753","Jollibee - JP Laurel Lipa","President JP Laurel Highway Barangay Marawouy Lipa City 6th District (7Q53X547+M8)","Lipa","BAT","4217","PH","13.95654145","121.1657826","+639171035765"
"Jollibee FoodPanda","153037","Jollibee - Ejercito C6","Lot 3 and 4 Jollibee Ejercito Avenue C6 San Juan Taytay Rizal 1st District 7Q63G4V7+FC)","Taytay","RIZ","1920","PH","14.5434683","121.115931","+639679471231"
"Jollibee FoodPanda","30799","Jollibee - Tandang Sora Visayas","101 Tandang Sora Corner Visayas Avenue 1st District","Quezon","QUE","1100","PH","14.67601045","121.04379475","+63282468343"
"Jollibee FoodPanda","13849","Jollibee - Anonas","J & F Divino Bldg, Aurora Boulevard Corner Anonas Street, Quirino 3-A","Quezon","QUE","1109","PH","14.62804685","121.06360865","+63289136267"
